E. I. N.,Name,In Care of Name,Address,City,State,Zip Code,Asset Amount,Income Amount,Form 990 Revenue Amount
660495492,ALIANZA PARA UN PUERTO RICO SIN DROGAS INC                            ,% FIDDLER GONALEZ & RODRIGUEZ      ,PO BOX 195112                      ,SAN JUAN              ,PR,00919-5112,"$1,191,571.00","$572,778.00","$572,778.00"
660481085,ALIVIO FOUNDATION INC                                                 ,% RICARDO GERENA                   ,PO BOX 9020370                     ,SAN JUAN              ,PR,00902-0370,$0.00,$0.00,$0.00
660720910,ALL SATOS RESCUE                                                      ,                                   ,212 CALLE EMANUELLI                ,SAN JUAN              ,PR,00917-4104,$0.00,$0.00,$0.00
660626026,ALLIANCE FOR THE NEW HUMANITY INC                                     ,                                   ,807 PONCE DE LEON AVE MIRAMIR      ,SAN JUAN              ,PR,00907-0000,$388.00,"$9,322.00","$9,322.00"
660552106,ALPHA PHI OMEGA                                                       ,% UNIV OF PUERTO RICO-RIO PIEDRAS  ,PO BOX 21759                       ,SAN JUAN              ,PR,00931-1759,$0.00,$0.00,$0.00
237071078,ALPHA PHI OMEGA                                                       ,% UNIV OF PUERTO RICO-MAYAGUEZ     ,PO BOX 643                         ,LAS MARIAS            ,PR,00670-0643,$0.00,$0.00,$0.00
660775224,ALPHA PHI OMEGA                                                       ,% PONTIFICAL CATHOLIC UNIV OF PR   ,2250 BLVD LUISAFERRE AGUAYO STE 592,PONCE                 ,PR,00717-0000,$0.00,$0.00,$0.00
237322865,ALPHA PI MU ASSOCIATION                                               ,% DR MAYRA MENDEZ                  ,CALL BOX 9000                      ,MAYAGUEZ              ,PR,00681-0000,$0.00,$0.00,$0.00
660398625,ALTERGARTEN LAS TERESAS II INC                                        ,                                   ,PO BOX 366287                      ,SAN JUAN              ,PR,00936-6287,"$1,473,754.00","$892,131.00","$892,131.00"
660398624,ALTERGARTEN LAS TERESAS INC I                                         ,                                   ,PO BOX 29598                       ,SAN JUAN              ,PR,00929-0598,"$933,017.00","$656,631.00","$656,631.00"
660350292,ALTRUSA INTERNATIONAL INC                                             ,% CARMEN IRIZARRY LUGO             ,PO BOX 1503                        ,SAN SEBASTIAN         ,PR,00685-1503,$0.00,$0.00,$0.00
660270489,ALTRUSA INTERNATIONAL INC                                             ,% MIRIAM GONZALEZ ORTIZ            ,PO BOX 373243                      ,CAYEY                 ,PR,00737-3243,$0.00,$0.00,$0.00
237282012,AMADEO BERMUDEZ CHAPTER 11                                            ,                                   ,PO BOX 973                         ,ARECIBO               ,PR,00613-0973,             ,             ,             
660711307,AMERICA DEVELOPING SMILES DE PUERTO RICO                              ,% MARIANGEL GONZALEZ               ,100 GRAN BLVD PASEOS               ,SAN JUAN              ,PR,00926-0000,"$52,404.00","$71,063.00","$71,063.00"
237186036,AMERICA LEGION                                                        ,                                   ,100 CALLE JUAN MORELL CAMPOS       ,YAUCO                 ,PR,00698-3192,$0.00,$0.00,$0.00
237208610,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN INC                          ,% JOANNE MARTI                     ,PARQUE DE BUCARE B-2 BROMELIA      ,GUAYNABO              ,PR,00969-0000,$0.00,$0.00,$0.00
660321594,AMERICAN CANCER SOCIETY INC                                           ,                                   ,CALLE ALVERIO 577 ESQ SARG MED     ,HATO REY              ,PR,00918-3725,"$11,914,177.00","$6,682,918.00","$5,418,451.00"
660684194,AMERICAN CHEMICAL SOCIETY DEPT OF CHEM RIO PIEDRAS CAMPUS             ,% DR JORGE L COLON                 ,PO BOX 23346                       ,SAN JUAN              ,PR,00931-3346,$0.00,$0.00,$0.00
660465080,AMERICAN COLLEGE OF CARDIOLOGY                                        ,% COND MEDICAL CENTER PLAZA        ,URB LA RIVIERA C/3 SE 1051 OFC LC10,SAN JUAN              ,PR,00921-0000,"$175,624.00","$425,122.00","$425,122.00"
237069724,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% JORGE W BETANCOURT               ,PO BOX 194924                      ,SAN JUAN              ,PR,00919-4924,$0.00,$0.00,$0.00
237060470,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% ANDRES DELGADO                   ,PASEO REAL 38 CALLE TOPACIO        ,DORADO                ,PR,00646-0000,$0.00,$0.00,$0.00
900034674,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% JORGE A FERMIN                   ,ST ANTONIO N BLANCO FN-3 6TA SECCIO,LEVITTOWN             ,PR,00949-0000,$0.00,$0.00,$0.00
986005141,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% WHITFIELD W STEVENS              ,PO BOX 800843                      ,COTO LAUREL           ,PR,00780-0843,"$10,323.00","$73,056.00","$73,056.00"
237457205,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% LUIS R SANTIAGO                  ,PO BOX 1593                        ,COAMO                 ,PR,00769-1593,$0.00,$0.00,$0.00
412028975,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% ESPERANZA AVILES-ESTRADA         ,PO BOX 8139                        ,MAYAGUEZ              ,PR,00681-8139,"$99,469.00","$36,797.00","$36,797.00"
986005143,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% HIRAM CRUZ-OCASIO                ,128 RIVER WALK ENCANTADA           ,TRUJILLO ALTO         ,PR,00976-0000,$0.00,$0.00,$0.00
986005151,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% JOSE LUIS VEGA MARRERO           ,PO BOX 34035                       ,FORT BUCHANAN         ,PR,00934-0035,$0.00,$0.00,$0.00
660273895,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES                           ,% VILMARY CARABALLO                ,PO BOX 33150                       ,SAN JUAN              ,PR,00933-3150,"$454,985.00","$200,295.00","$200,295.00"
660449703,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS            ,% JOSE RODRIGUEZ                   ,PO BOX 19689                       ,SAN JUAN              ,PR,00910-1689,"$220,369.00","$200,384.00","$200,384.00"
660520290,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES             ,% EDDIE OLIVERA                    ,PO BOX 13695                       ,SAN JUAN              ,PR,00908-3695,"$622,682.00","$2,019,977.00","$2,019,977.00"
660378658,AMERICAN IMMIGRATION LAWYERS ASSOCIATION                              ,% AILA PR CHAPTER                  ,PO BOX 360018                      ,SAN JUAN              ,PR,00936-0018,$0.00,$0.00,$0.00
931227870,AMERICAN INSTITUTE OF CHEMICAL ENGINEERS                              ,% EDGAR HERNANDEZ LS-117           ,100 GRND BOULEVARD PASEOS SUITE 112,SAN JUAN              ,PR,00926-0000,$0.00,$0.00,$0.00
660270553,AMERICAN LEGION                                                       ,% TOMAS TORRES- RIVERA             ,4106 CALLE ROBERTO B COLLADO       ,PARCAMALIA MARIN PONCE,PR,00716-0000,$0.00,$0.00,$0.00
660270578,AMERICAN LEGION                                                       ,                                   ,29 AVE LOS VETERANOS               ,ENSENADA              ,PR,00647-1418,$0.00,$0.00,$0.00
660578294,AMERICAN LEGION                                                       ,% NA                               ,PO BOX 2968                        ,GUAYNABO              ,PR,00970-2968,$0.00,$0.00,$0.00
660401319,AMERICAN LEGION AUXILIARY                                             ,                                   ,PO BOX 362                         ,SAINT JUST            ,PR,00978-0362,             ,             ,             
660401322,AMERICAN LEGION AUXILIARY                                             ,                                   ,HC 3 BOX 14297                     ,UTUADO                ,PR,00641-6517,             ,             ,             
660401323,AMERICAN LEGION AUXILIARY                                             ,                                   ,PO BOX 537                         ,PENUELAS              ,PR,00624-0537,             ,             ,             
660401325,AMERICAN LEGION AUXILIARY                                             ,                                   ,12 URB BONILLA                     ,CABO ROJO             ,PR,00623-3111,             ,             ,             
660400721,AMERICAN LEGION AUXILIARY                                             ,                                   ,CALLE NOYA HDEZ STE 53             ,HUMACAO               ,PR,00791-0000,             ,             ,             
660400720,AMERICAN LEGION AUXILIARY                                             ,                                   ,PO BOX 1224                        ,CAYEY                 ,PR,00737-0000,             ,             ,             
660400726,AMERICAN LEGION AUXILIARY                                             ,                                   ,URB MANSIONES                      ,SAN GERMAN            ,PR,00683-0000,             ,             ,             
660400715,AMERICAN LEGION AUXILIARY                                             ,                                   ,PO BOX 97                          ,BAYAMON               ,PR,00960-0097,             ,             ,             
660400713,AMERICAN LEGION AUXILIARY                                             ,                                   ,PO BOX 336764                      ,PONCE                 ,PR,00733-6764,             ,             ,             
660400710,AMERICAN LEGION AUXILIARY                                             ,                                   ,M2 CALLE IMPERIAL                  ,CAROLINA              ,PR,00987-8539,             ,             ,             
660400722,AMERICAN LEGION AUXILIARY                                             ,                                   ,HC 3 BOX 21681                     ,ARECIBO               ,PR,00612-9117,             ,             ,             
660400708,AMERICAN LEGION AUXILIARY                                             ,                                   ,683 CALLE FERNANDO CALLEJO         ,SAN JUAN              ,PR,00924-2217,             ,             ,             
660400718,AMERICAN LEGION AUXILIARY                                             ,                                   ,JJ5 CALLE 11                       ,CAGUAS                ,PR,00727-6854,             ,             ,             
660270551,AMERICAN LEGION POST 0033 PEDRO MARTINO                               ,% JUAN A CRUZ                      ,JARDINES DEL CARIBE 103 CALLE 17   ,PONCE                 ,PR,00728-0000,$0.00,$0.00,$0.00
660270597,AMERICAN LEGION POST 0047 MONSERRATE PADILLA                          ,                                   ,9 CALLEJON FAS                     ,CABO ROJO             ,PR,00623-4363,$0.00,$0.00,$0.00
660270530,AMERICAN LEGION POST 1 PUERTO RICO                                    ,                                   ,PO BOX 11424                       ,SAN JUAN              ,PR,00922-1424,$1.00,$54.00,$54.00
660637350,AMERICAN LEGION POST 150                                              ,% PEDRO L CORUJO                   ,PO BOX 3349                        ,AGUADILLA             ,PR,00605-3349,$0.00,$0.00,$0.00
660270550,AMERICAN LEGION POST 58 J I SEGGARRA                                  ,                                   ,538 CALLE JUAN RODRIGUEZ           ,PENUELAS              ,PR,00624-1802,$0.00,$0.00,$0.00
660311127,AMERICAN LEGION POST DEPT POST                                        ,% ROBERTO GONZALEZ                 ,PO BOX 11424                       ,SAN JUAN              ,PR,00922-1424,"$113,459.00","$130,326.00",$0.00
660750811,AMERICAN NEPHROLOGY NURSES ASSOCIATION                                ,% RITA DE JESUS-PEREZ              ,RR 4 BOX 505                       ,TOA ALTA              ,PR,00953-9431,$0.00,$0.00,$0.00
660350100,AMERICAN POSTAL WORKERS UNION                                         ,% AMALIA LOPEZ                     ,1426 CALLE SAN RAFAEL              ,SAN JUAN              ,PR,00909-2693,"$364,473.00","$623,199.00","$623,199.00"
311178910,AMERICAN SOCIETY OF AGRICULTURAL ENGINEERS                            ,% MEGH GOYAL                       ,PO BOX 5984                        ,MAYAGUEZ              ,PR,00677-0000,$0.00,$0.00,$0.00
660350945,AMERICAN UNIVERSITY OF PUERTO RICO INC                                ,                                   ,PO BOX 602037                      ,BAYAMON               ,PR,00960-6020,"$16,183,391.00","$14,232,939.00","$14,232,939.00"
660343550,AMERICAN WATER WORKS ASSOCIATION                                      ,% CARLOS ORTIZ ROSADO              ,PO BOX 9648                        ,SAN JUAN              ,PR,00908-0000,"$269,722.00","$265,801.00","$265,801.00"
660750931,AMERICAN YOUTH FOOTBALL INC                                           ,% EGIDIO FANTAUZZI                 ,PO BOX 5068                        ,CAROLINA              ,PR,00984-5068,             ,             ,             
660647631,AMPRE INC                                                             ,% DOMINGO SEPULVEDA MD             ,PO BOX 6419                        ,CAGUAS                ,PR,00726-6419,             ,             ,             
660508551,ANACO EDUCATIONAL SERVICES INC                                        ,                                   ,PO BOX 50044                       ,TOA BAJA              ,PR,00950-0044,"$47,342.00","$931,056.00","$931,056.00"
237576732,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS OF USA      ,% BENILDA VELEZ VELEZ              ,H-11 CALLE 28 URB SANTA MARIA      ,GUAYANILLA            ,PR,00656-0000,             ,             ,             
237576733,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA         ,% JOSE J GARCIA-VAZQUEZ            ,PO BOX 362095                      ,SAN JUAN              ,PR,00936-2095,             ,             ,             
237576731,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA         ,% ANTONIO SOTO S                   ,PO BOX 1077                        ,MAYAGUEZ              ,PR,00681-1077,$0.00,$0.00,$0.00
237576729,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA         ,% CARLOS R RIOS-HERNANDEZ          ,PO BOX 1002                        ,FAJARDO               ,PR,00738-1002,             ,             ,             
237576739,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA         ,% JUAN A PARDO-MORAN               ,PO BOX 891                         ,UTUADO                ,PR,00641-0891,             ,             ,             
237576740,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION,                                   ,200 CALLE DEL SOL A3               ,SAN JUAN              ,PR,00901-0000,             ,             ,             
237576728,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION,                                   ,JARDINES DE AROYO 0-26 CALLE P     ,ARROYO                ,PR,00714-0000,             ,             ,             
660563521,ANDANZA INC                                                           ,                                   ,1091 CALLE R PABON                 ,SAN JUAN              ,PR,00925-2838,"$25,977.00","$752,403.00","$749,270.00"
660568787,ANGEL DE LA GUARDA INC                                                ,% WILFREDO MENDEZ                  ,PO BOX 3007                        ,SAN SEBASTIAN         ,PR,00685-7001,"$124,286.00","$644,720.00","$644,720.00"
660473469,ANN WIGMORE NATURAL HEALTH INSTITUTE INC                              ,                                   ,PO BOX 429                         ,RINCON                ,PR,00677-0429,"$395,915.00","$774,404.00","$774,404.00"
660376145,APNI INC                                                              ,                                   ,PO BOX 21280                       ,SAN JUAN              ,PR,00928-1280,"$1,319,582.00","$4,956,356.00","$4,956,356.00"
660600033,ARF OF RINCON INC                                                     ,                                   ,PO BOX 592                         ,RINCON                ,PR,00677-0592,"$15,295.00","$92,339.00","$92,339.00"
860722483,ARIZONANS FOR SAFETY AND HUMANITY ON PUBLIC LANDS INCORPORATED        ,% ARIZONANS FOR SAFETY AND HUMANITY,PO BOX 366811                      ,SAN JUAN              ,PR,00936-6811,             ,             ,             
660476005,ARNOLD AIR SOCIETY-SILVER WINGS                                       ,% UNIVERSITY OF PUERTO RICO RIO PIE,PO BOX 366275                      ,SAN JUAN              ,PR,00936-6275,$0.00,$0.00,$0.00
237050819,ARNOLD AIR SOCIETY-SILVER WINGS                                       ,% UNIVERSITY OF PUERTO RICO MAYAGUE,BOX 5171 BAMBU STREET              ,MAYAGUEZ              ,PR,00681-0000,$0.00,$0.00,$0.00
660598914,ASAMBLEA DE DIOS                                                      ,                                   ,PO BOX 1064                        ,AIBONITO              ,PR,00705-1064,             ,             ,             
660487112,ASAMBLEA FAMILIAR VIRGILIO DAVILA INC                                 ,% SISTER ANA MARIA ADROVER         ,PO BOX 607061 PMB 113              ,BAYAMON               ,PR,00960-7061,"$184,729.00","$271,521.00","$271,521.00"
660701458,ASESORES FINANCIEROS COMUNITARIOS INC                                 ,% LIANABEL OLIVER BIGAS            ,MARGINAL LOS ANGELES PARADA 26 1/2 ,SAN JUAN              ,PR,00909-0000,"$59,668.00","$165,154.00","$165,154.00"
521589708,ASIS INTERNATIONAL INC                                                ,                                   ,PO BOX 1023                        ,LAS PIEDRAS           ,PR,00771-1023,$0.00,$0.00,$0.00
660676942,ASISTENCIA LEGAL Y CONTRIBUTIVA DE PUERTO RICO INC                    ,% JO NANCY CRUZ RIVERA             ,PO BOX 1529                        ,BAYAMON               ,PR,00960-1529,$0.00,$0.00,$0.00
660692042,ASOCAGUAS INC                                                         ,% FRANCISCO MENDEZ                 ,L6 CALLE SAN RAMON                 ,CAGUAS                ,PR,00725-6426,$0.00,$0.00,$0.00
660424216,ASOCIACION BENEFICA DE PONCE INC                                      ,                                   ,PO BOX 8110                        ,PONCE                 ,PR,00732-8110,             ,             ,             
660483110,ASOCIACION CRISTIANA MINISTERIAL EBEN-EZER INC                        ,% A C M E                          ,AVE CAMPO RICO GK-50 COUNTRY CLUB  ,CAROLINA              ,PR,00982-2657,             ,             ,             
660577203,ASOCIACION DE AGENCIAS COMUNALES DE PR INC                            ,% ALICIA RAMIREZ SUAREZ            ,H-17-B AVE LUIS MUNOZ MARIN URB VIL,CAGUAS                ,PR,00725-0000,"$67,820.00","$345,543.00","$345,543.00"
660472045,ASOCIACION DE ALZHEIMER Y DESORDENES RELACIONADOS DE PR               ,% AADRPR                           ,PO BOX 362026                      ,SAN JUAN              ,PR,00936-2026,"$56,491.00","$138,777.00","$138,777.00"
660274483,ASOCIACION DE HOSPITALES DE PUERTO RICO                               ,                                   ,VILLA NEVAREZ PROF CENTER OFICINA  ,RIO PIEDRAS           ,PR,00927-0000,             ,             ,             
660182607,ASOCIACION DE IND DE PUERTO RICO OR PUERTO RICO MANUFTRS ASSOCIATION  ,                                   ,PO BOX 195477                      ,SAN JUAN              ,PR,00919-5477,"$4,810,644.00","$3,301,081.00","$3,301,081.00"
660323248,ASOCIACION DE INTERCAMBIO CULTURAL INC                                ,                                   ,PO BOX 10430                       ,SAN JUAN              ,PR,00922-0430,"$5,803,547.00","$1,526,098.00","$1,526,098.00"
660194027,ASOCIACION DE MAESTROS DE P R                                         ,                                   ,PO BOX 191088                      ,SAN JUAN              ,PR,00919-1088,             ,             ,             
660374268,ASOCIACION DE PERSONAS CON IMPEDIME NTOS INC                          ,                                   ,PO BOX 1358                        ,SAN GERMAN            ,PR,00683-1358,"$227,025.00","$374,092.00","$357,804.00"
660262723,ASOCIACION DE PRODUCTOS DE                                            ,% ROSALIA DE LA FUENTE             ,PO BOX 363631                      ,SAN JUAN              ,PR,00936-3631,"$425,221.00","$879,840.00","$879,840.00"
660555010,ASOCIACION DE RESIDENTES VILLAS DE CARRAIZO                           ,% NANCY QUINTERO                   ,RR-7 BOX 448 URB VILLAS DE CARRAIZO,TRUJILLO ALTO         ,PR,00926-0000,"$199,850.00","$159,940.00","$159,940.00"
660419912,ASOCIACION DE SALUD PRIMARIA DE PUERTO RICO INC                       ,% EDIFICIO LA EUSKALDUNA           ,EDIFICIO ALIANZA 400 AMERICO MIRAND,SAN JUAN              ,PR,00927-0000,"$745,959.00","$752,548.00","$752,548.00"
986001386,ASOCIACION DE SENORAS DAMAS DEL SANTO ASILO DE PONCE                  ,                                   ,PONCE BY PASS                      ,PONCE                 ,PR,00731-0000,             ,             ,             
660421458,ASOCIACION EDUCATIVA PRO-DESARROLLO HUMANO DE CULEBRA INC             ,                                   ,PO BOX 477                         ,CULEBRA               ,PR,00775-0477,"$94,459.00","$125,646.00","$125,646.00"
660389698,ASOCIACION EL ZEYBAL INC                                              ,                                   ,LA ALHAMBRA 2413 AVE JOSE DE DIEGO ,PONCE                 ,PR,00716-0000,"$448,509.00","$285,402.00","$285,402.00"
660372757,ASOCIACION FOMENTO EDUCATIVO INC                                      ,                                   ,A48 CALLE A                        ,GUAYNABO              ,PR,00966-2200,"$7,747,732.00","$2,409,614.00","$2,409,614.00"
660263752,ASOCIACION MARISTA DE PUERTO RICO INC                                 ,                                   ,ALTURAS DE TORRIMAR 6 CALLE M CHAMP,GUAYNABO              ,PR,00969-0000,             ,             ,             
660406690,ASOCIACION MAYAGUEZANA DE PERSONAS CON INPEDIMENTOS INC PROYECTO      ,                                   ,PO BOX 745                         ,MAYAGUEZ              ,PR,00681-0745,"$175,437.00","$283,684.00","$283,684.00"
660574598,ASOCIACION NACIONAL DE CIEGOS                                         ,                                   ,CENTRO DE REHABILTACION APT 2319   ,ISABELA               ,PR,00662-0000,"$18,243.00","$210,521.00","$210,521.00"
660569781,ASOCIACION PARA LA SUPERACION DEL NINO CON SINDROME DOWN              ,                                   ,PO BOX 4482                        ,AGUADILLA             ,PR,00605-4482,"$74,801.00","$95,250.00","$95,250.00"
660413650,ASOCIACION PRO ALBERGUE DE ANIMALES INC                               ,                                   ,PO BOX 3537                        ,MAYAGUEZ              ,PR,00681-3537,"$204,198.00","$383,642.00","$383,642.00"
660406990,ASOCIACION PRO JUVENTUD Y COMUNIDAD DE BARRIO PALM                    ,                                   ,PO BOX 63476                       ,CATANO                ,PR,00963-0000,"$776,112.00","$394,814.00","$394,814.00"
660442165,ASOCIACION PUERTO RICO QUENA DE DIABETES                              ,                                   ,PO BOX 19445                       ,SAN JUAN              ,PR,00910-1445,"$181,268.00","$804,249.00","$804,249.00"
660479008,ASOCIACION PUERTORIQUENA DE SERVIC Y AYUDA AL PACIENTE CON SIDA       ,% HECTOR FIGUERO                   ,26 CALLE P EL CARIBE               ,CAGUAS                ,PR,00725-3749,"$246,632.00","$820,745.00","$820,745.00"
660404533,ASOCIACION PUERTORRIQUENA DE CIEGOS INC                               ,% ASOCIACION PUERTORRIQUENA DE CIEG,PO BOX 29852                       ,SAN JUAN              ,PR,00929-0852,$0.00,$0.00,$0.00
660191840,ASOCIACION PUERTORRIQUENA DEL                                         ,                                   ,PO BOX 195247                      ,SAN JUAN              ,PR,00919-5247,"$266,707.00","$321,664.00","$276,394.00"
660554150,ASOCIACION RECREATIVA DEPORTIVA EDUCATIVA Y CULTURAL DEL BO           ,% RAMOS EPRNIN                     ,HC 2 BOX 22209                     ,MAYAGUEZ              ,PR,00680-9089,"$40,300.00","$49,056.00","$49,056.00"
660232211,ASOCIACION UNITY DE CRISTIANISMO PRACTICO DE PUERTO RICO              ,                                   ,PO BOX 12108                       ,SAN JUAN              ,PR,00914-0108,             ,             ,             
660592388,ASOCIACION Y FUNDACION ALUMNI COLEGIAL                                ,% UNIVERSITY OF PUERTO RICO        ,PO BOX 3214                        ,MAYAGUEZ              ,PR,00681-3214,"$1,087,136.00","$162,178.00","$162,178.00"
660276355,ASPIRA INC DE PUERTO RICO                                             ,                                   ,PO BOX 29132                       ,RIO PIEDRAS           ,PR,00929-0132,"$3,108,276.00","$3,519,332.00","$3,519,332.00"
650329274,ASSOCIACION INTERAMERICANA DE CONTABILIDAD INC                        ,                                   ,EDIF CAPITAL CTR TORRE SUR PH 2 239,SAN JUAN              ,PR,00917-0000,"$95,961.00","$366,010.00","$366,010.00"
900594538,ASSOCIATION OF ENERGY ENGINEERS INC                                   ,% ANGEL ABREU                      ,HC 3 BOX 7851                      ,LAS PIEDRAS           ,PR,00771-9344,             ,             ,             
660706760,ASSPEN INTERNATIONAL INC                                              ,% MARCOS RIVERA CORDOVA            ,PO BOX 360455                      ,SAN JUAN              ,PR,00936-0455,             ,             ,             
660537875,ATENAS COLLEGE INC                                                    ,% MARIA L HERNANDEZ NUNEZ          ,PO BOX 365                         ,MANATI                ,PR,00674-0365,"$12,649,328.00","$9,145,089.00","$9,145,089.00"
660603185,AUGIES BUNCH CORP                                                     ,                                   ,RR 5 BOX 99                        ,ISABELA               ,PR,00662-0000,$0.00,$0.00,$0.00
660740904,AUTISM SOCIETY OF AMERICA                                             ,                                   ,PO BOX 190594                      ,SAN JUAN              ,PR,00919-0594,$0.00,$0.00,$0.00
660734693,AUTORIDAD DE TRANSPORTACION DEL SUROESTE                              ,% PEDRO PADOVANI                   ,PO BOX 964                         ,SAN GERMAN            ,PR,00683-0964,$1.00,$0.00,$0.00
660656350,AXEMINEL HOME FOR THE ELDERLY                                         ,% ARSENIO CLAUDIO                  ,PO BOX 114                         ,SAN LORENZO           ,PR,00754-0114,$0.00,$0.00,$0.00
660653730,AYUDA HUMANITARIA PARA LOS NINOS DE PR INC                            ,                                   ,MARIAN BRACETTY 262 STE BALBOA     ,MAYAGUEZ              ,PR,00680-5236,$1.00,$0.00,$0.00
660508359,AYUDA SOCIAL MOVIMIENTO JUAN XXIII INC                                ,% NELSON RIVERA BEAUCHAMP          ,PO BOX 193                         ,SABANA HOYOS          ,PR,00688-0193,             ,             ,             
660609250,B B BHAGAVAT INSTITUTE FOR BHAKTHI YOGA INC                           ,% UPENDRA DASS                     ,PO BOX 37525                       ,SAN JUAN              ,PR,00937-0525,             ,             ,             
